,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6affe046-229d-5e70-9780-f11f025e0d2e,1,,,,4003641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kisvárda,2484,,0,,,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 484629, 'name': 'Ilya Popovych'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 46426, 'name': 'Branimir Cipetić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 28394, 'name': 'Aleksandar Jovičić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 131284, 'name': 'Martin Chlumecký'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 404182, 'name': 'Sinan Medgyes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 484631, 'name': 'Abdulrasaq Ridwan Popoola'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 404977, 'name': 'Krisztián Nagy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 55}, {'player': {'id': 406296, 'name': 'Bohdan Melnyk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 405806, 'name': 'Gábor Molnár Horváth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 101836, 'name': 'Bence Balazs Bíró'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 29}, {'player': {'id': 388945, 'name': 'Jasmin Mešanović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",Kisvárda,2484,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a2e1575c-4f19-59aa-b7df-2d063b5899ce,2,,,,4003641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kisvárda,2484,,0,,,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 404208, 'name': 'Dávid Banai'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 404242, 'name': 'Bence Gergényi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 46812, 'name': 'Davit Kobouri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 348792, 'name': 'Krisztián Tamás'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 35313, 'name': 'Mátyás Tajti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 28763, 'name': 'Giorgi Beridze'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Ujpest,1033,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,766cb530-96b0-5154-b05e-90582c9ab3eb,3,,,,4003641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kisvárda,2484,['8d5c4cf5-e5d9-560c-8b13-15b7733df248'],0,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d5c4cf5-e5d9-560c-8b13-15b7733df248,4,,,,4003641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kisvárda,2484,['766cb530-96b0-5154-b05e-90582c9ab3eb'],0,,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,525233a3-beae-5387-b212-80fa8758d3e3,1476,,,,4003641,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,137,Ujpest,1033,['3646d39f-2c43-5936-a4fa-38c23034f49d'],0,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3646d39f-2c43-5936-a4fa-38c23034f49d,1477,,,,4003641,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,137,Ujpest,1033,['525233a3-beae-5387-b212-80fa8758d3e3'],0,,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,1.499,,,,,,,,,,,,,,9cc842ba-c45c-5930-92b7-98e26813e92c,5,,,"[61.0, 40.1]",4003641,0,,0.01028171,0.0096909162,0.0005907938,0.0144220134,0.0068286974,0.007593316,0.0070025222,,,,2.700528,,Left Foot,,,"[41.3, 49.4]",,Ground Pass,,21.78,,,,,,0.9982699156,Martin Chlumecký,131284.0,,,,,Kick Off,,1,From Kick Off,Gábor Molnár Horváth,405806.0,Center Attacking Midfield,2,Kisvárda,2484,['7699577c-2b63-5f07-a487-4ae2b5115c9c'],0,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:00.315,Pass,
7,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,e84286d9-d909-5ee1-a319-92a6de67ff75,8,,,"[40.7, 47.8]",4003641,0,,0.0103023965,0.0103985993,-9.62028e-05,0.0146200182,0.0143570499,0.0002629682,0.0003591711,,,,1.336074,,Right Foot,,,"[41.8, 52.4]",,Ground Pass,,4.73,,,39.0,Defensive third - Right - Backwards - Short - Ground Pass,0.6934737791,0.9350116849,Aleksandar Jovičić,28394.0,,,,,,,1,From Kick Off,Martin Chlumecký,131284.0,Left Center Back,2,Kisvárda,2484,"['a11ce598-b1da-5693-bacb-d119e2d0441a', '4a7db435-e70a-5555-8300-a7b5f968f24e']",1,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:01.854,Pass,
8,,,,,,,,,,,,,,,,,,3.011,,,,,,,,,,,,,,f79c2929-5bd7-5b83-af45-22bde6120178,11,,,"[42.4, 52.6]",4003641,0,,0.0061047967,0.0105180629,-0.0044132662,0.0140803251,0.014864305,-0.0007839799,0.0036292863,,,,-0.497108,,Right Foot,,,"[98.8, 22.0]",,High Pass,,64.17,Incomplete,,25.0,Midfield third - Right - To left - Long - High Pass,0.8551163218,0.2258754075,,,,,,,,,1,From Kick Off,Aleksandar Jovičić,28394.0,Right Center Back,2,Kisvárda,2484,"['eb9a62ce-3587-5453-89fa-453f78c50371', '84d2e376-abd3-5599-8ab4-3455d73aff38']",3,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:00:03.354,Pass,
9,,,,,,,,,,,,,,,,,,2.329,,,,,,,,,,,,,,84d2e376-abd3-5599-8ab4-3455d73aff38,12,,,"[21.3, 58.1]",4003641,0,,0.0234004371,0.014864305,0.0085361321,0.0092820348,0.0105180629,-0.001236028,-0.0097721601,,,,-0.107538,,Head,,,"[38.9, 56.2]",,High Pass,,17.7,Incomplete,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.9414838856,0.5423790812,,,,,,,Recovery,,1,From Kick Off,João Aniceto Grandela Nunes,7977.0,Right Center Back,2,Kisvárda,2484,"['129c75d6-a37a-5e38-832f-55569d9c3534', 'f79c2929-5bd7-5b83-af45-22bde6120178']",6,,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:06.365,Pass,
