,Division_1,Division_2,Division_3,Division_4,Division_5,Division_6
Afghanistan,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Albania,1485,,,NO DATA,NO DATA,NO DATA
Algeria,1488,,NO DATA,NO DATA,NO DATA,NO DATA
Andorra,,,NO DATA,NO DATA,NO DATA,NO DATA
Angola,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Antigua and Barbuda,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Arab Emirates,NO DATA,,,NO DATA,NO DATA,NO DATA
Argentina,1690,1517,1444,,,1275
Armenia,1417,1258,NO DATA,NO DATA,NO DATA,NO DATA
Aruba,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Australia,1523,1314,NO DATA,NO DATA,NO DATA,NO DATA
Austria,1634,1423,1280,1175,NO DATA,NO DATA
Azerbaijan,1530,,NO DATA,NO DATA,NO DATA,NO DATA
Bahamas,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Bahrain,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Bangladesh,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Barbados,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Belarus,1495,1336,,NO DATA,NO DATA,NO DATA
Belgium,1744,1449,1343,1270,,
Belize,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Benin,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Bermuda,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Bolivia,1496,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Bosnia-Herzegovina,1503,,NO DATA,NO DATA,NO DATA,NO DATA
Botswana,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Brazil,1803,1625,NO DATA,,NO DATA,NO DATA
Bulgaria,1536,1375,,NO DATA,NO DATA,NO DATA
Burkina Faso,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Cambodia,1404,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Cameroon,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Canada,,,,NO DATA,NO DATA,NO DATA
Chile,1566,1458,,NO DATA,NO DATA,NO DATA
China PR,1515,1357,NO DATA,NO DATA,NO DATA,NO DATA
Chinese Taipei,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Colombia,1616,,NO DATA,NO DATA,NO DATA,NO DATA
Congo,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Congo DR,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Costa Rica,1532,,NO DATA,NO DATA,NO DATA,NO DATA
Croatia,1631,1418,,,NO DATA,NO DATA
Cuba,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Curaçao,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Cyprus,1590,1386,,NO DATA,NO DATA,NO DATA
Czech Republic,1651,1462,,,NO DATA,NO DATA
Côte d'Ivoire,NO DATA,,NO DATA,NO DATA,NO DATA,NO DATA
Denmark,1692,1479,1355,,NO DATA,NO DATA
Djibouti,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Dominican Republic,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Ecuador,1578,,NO DATA,NO DATA,NO DATA,NO DATA
Egypt,1467,,,NO DATA,NO DATA,NO DATA
El Salvador,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
England,1992,1749,1563,1464,1321,1246
Estonia,1431,,,NO DATA,NO DATA,NO DATA
Ethiopia,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Faroe Islands,1392,,,NO DATA,NO DATA,NO DATA
Fiji,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Finland,1463,1291,,,NO DATA,NO DATA
France,1866,1577,1456,1399,1350,NO DATA
French Guiana,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Gambia,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Georgia,,,NO DATA,NO DATA,NO DATA,NO DATA
Germany,1897,1688,1529,1394,1232,NO DATA
Ghana,1408,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Gibraltar,1314,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Greece,1712,1487,1419,NO DATA,,NO DATA
Grenada,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Guadeloupe,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Guam,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Guatemala,1492,,NO DATA,NO DATA,NO DATA,NO DATA
Haiti,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Honduras,1481,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
