,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,efe34b49-e757-4e34-8428-26feb42240f2,1,,,,4003664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Nyíregyháza Spartacus,2215,,0,,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 300705, 'name': 'Dániel Kovács'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 63}, {'player': {'id': 136224, 'name': 'Meldin Drešković'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 98}, {'player': {'id': 405771, 'name': 'Attila Temesvári'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 404971, 'name': 'Levente Katona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 411566, 'name': 'Barna Benczenleitner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 66}, {'player': {'id': 438572, 'name': 'Milán Kovács'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 345335, 'name': 'Balázs Manner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8703, 'name': 'Dominik Nagy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 404992, 'name': 'Bálint Lajos Katona'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 55}, {'player': {'id': 8042, 'name': 'Marko Kvasina'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 9730, 'name': 'Bright Osagie Edomwonyi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 34}]}",Nyíregyháza Spartacus,2215,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b588250-5304-4cdf-b611-7e00edee3bea,2,,,,4003664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Nyíregyháza Spartacus,2215,,0,,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 404208, 'name': 'Dávid Banai'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 247192, 'name': 'Gergő János Bodnár'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 27815, 'name': 'Patrizio Stronati'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 94}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 55}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 28763, 'name': 'Giorgi Beridze'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 88}, {'player': {'id': 48713, 'name': 'Milan Tučić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 34}]}",Ujpest,1033,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,75caf75c-0be2-484d-903e-f8d43be5c700,3,,,,4003664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Nyíregyháza Spartacus,2215,['31996b28-dff1-52e7-9794-ac3a53df18bf'],0,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,31996b28-dff1-52e7-9794-ac3a53df18bf,4,,,,4003664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Nyíregyháza Spartacus,2215,['75caf75c-0be2-484d-903e-f8d43be5c700'],0,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9ac31db5-26c3-4b0f-bf5b-00196fdcb476,1365,,,,4003664,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Nyíregyháza Spartacus,2215,['07dee4f8-af61-571a-bd8a-3b7bae45d41a'],0,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,07dee4f8-af61-571a-bd8a-3b7bae45d41a,1366,,,,4003664,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Nyíregyháza Spartacus,2215,['9ac31db5-26c3-4b0f-bf5b-00196fdcb476'],0,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,2.080298,,,,,,,,,,,,,,721c09eb-422c-42dc-aa5e-60d3c72a40dd,5,,,"[61.0, 40.1]",4003664,0,0.0117006665,0.0096909162,0.0020097503,0.0138100209,0.0068286974,0.0069813235,0.0049715731,,,,3.089787,,,Right Foot,,"[34.0, 41.5]",,Ground Pass,,27.04,,,,,,0.998760581,Barna Benczenleitner,411566.0,,,,,Kick Off,,1,From Kick Off,Bálint Lajos Katona,404992.0,Center Attacking Midfield,2,Nyíregyháza Spartacus,2215,['c185422f-741e-5960-af63-df97af64d936'],0,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:00.739,Pass,
7,,,,,,,,,,,,,,,,,,2.153662,,,,,,,,,,,,,,6b3dbdc3-4468-4650-ad62-a265ad5ff3b5,8,,,"[34.9, 40.1]",4003664,0,0.0096280631,0.0109992344,-0.0013711713,0.0169756785,0.0140524376,0.0029232409,0.0042944122,,,,0.222203,,,Left Foot,,"[85.8, 51.6]",,High Pass,,52.18,,,9.0,Midfield third - Right - Forwards - Long - High Pass,0.4748548055,0.2306212485,Marko Kvasina,8042.0,,,,,,,1,From Kick Off,Barna Benczenleitner,411566.0,Left Back,2,Nyíregyháza Spartacus,2215,"['f66b6bc4-dfc7-5b1d-a837-630e89880e44', 'c61543fe-8db1-567e-a65a-265e505244cc']",3,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:03.780,Pass,
8,,,,,,,,,,,,,,,,,,1.4355139999999993,,,,,,,,,,,,,,d0d38441-c7ae-4ed9-bd39-30d9171daa9c,10,,,"[85.8, 51.6]",4003664,0,0.0120000616,0.0096280631,0.0023719985,0.0120164389,0.0169756785,-0.0049592396,-0.0073312381,,,True,-0.121535,,,Head,,"[98.9, 50.0]",,High Pass,,13.2,Incomplete,,56.0,Attacking third - Center - To left - Short - Ground Pass,0.5504367389,0.3421720266,,,,,,,,,1,From Kick Off,Marko Kvasina,8042.0,Right Center Forward,2,Nyíregyháza Spartacus,2215,"['1910122f-b2ba-4d65-bbf2-21468f852a8e', 'e17a689a-7bec-51b5-b41f-99685d9f5c71']",5,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:05.933,Pass,True
9,,,,,,,,,,,,,,,,,,1.5898520000000007,,,,,,,,,,,,,,1910122f-b2ba-4d65-bbf2-21468f852a8e,12,,,"[21.2, 30.1]",4003664,0,0.0281943306,0.0169756785,0.0112186521,0.0093224272,0.0096280631,-0.0003056359,-0.011524288,,,,-0.001208,,,Right Foot,,"[37.8, 30.1]",,High Pass,,16.55,Incomplete,,48.0,Defensive third - Center - Forwards - Short - Ground Pass,0.8638037963,0.2018953115,,,,,,,Recovery,,1,From Kick Off,Patrizio Stronati,27815.0,Left Center Back,2,Nyíregyháza Spartacus,2215,"['d0d38441-c7ae-4ed9-bd39-30d9171daa9c', '963d792c-570a-4450-a982-87df0f8f9ac9']",7,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:07.369,Pass,
