50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aca11b83-965d-5994-ae09-b57ff4edcc94,1,,,4003552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7390, 'name': 'Barnabás Bese'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 132838, 'name': 'André Lourenço Duarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 404242, 'name': 'Bence Gergényi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 44}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 88}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 130597, 'name': 'Fran Brodić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,46e5f48f-3cb8-5159-9756-a1147356a769,2,,,4003552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 41382, 'name': 'Karlo Sentić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 452187, 'name': 'Bence Szakos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 85}, {'player': {'id': 28991, 'name': 'Ákos Kecskés'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 28003, 'name': 'Siniša Saničanin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 404174, 'name': 'Dániel Richárd Gera'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 24323, 'name': 'Alejandro Vallejo Mínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 50}, {'player': {'id': 23648, 'name': 'Anderson Esiti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 23735, 'name': 'Elton-Ofoi Acolatse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 404187, 'name': 'Ágoston András Bényei'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 405025, 'name': 'Gábor Jurek'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 34532, 'name': 'Ivan Šaponjić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Diósgyőr,2212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ffb269f9-0578-5cfc-b58e-8b689dfdaef0,3,,,4003552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['5b32db6d-bd7f-5530-abc7-d4db0016fec8'],0,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b32db6d-bd7f-5530-abc7-d4db0016fec8,4,,,4003552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['ffb269f9-0578-5cfc-b58e-8b689dfdaef0'],0,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e6f1076d-b01c-5303-baa9-029af51c2af2,1578,,,4003552,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,121,Diósgyőr,2212,['4f92c0fc-bbb6-5434-9f8b-d130cf1a1ab3'],0,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4f92c0fc-bbb6-5434-9f8b-d130cf1a1ab3,1579,,,4003552,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,121,Diósgyőr,2212,['e6f1076d-b01c-5303-baa9-029af51c2af2'],0,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,425cef69-30e2-55dc-9932-267441321564,5,,"[60.0, 40.0]",4003552,0,0.0099429125,0.0085812286,0.0013616839,0.0148808146,0.0074392939,0.0074415207,0.0060798367,,,,-3.122364,,Right Foot,,,"[44.4, 39.7]",,Ground Pass,,15.6,,,,,,,0.9984579086,Anderson Esiti,23648.0,,,,,,Kick Off,,1,From Kick Off,Ivan Šaponjić,34532.0,Center Forward,2,Diósgyőr,2212,['27e8c222-977b-5e7d-aa9f-f02fda4ef9c5'],1,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:01.219,Pass,
,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,0233aa1c-723a-5b0d-87dc-a3a50dc0220b,8,,"[46.4, 34.7]",4003552,0,0.0106561901,0.0102475276,0.0004086625,0.0116962884,0.0148219401,-0.0031256517,-0.0035343142,,,,-1.701435,,Right Foot,,,"[42.8, 7.3]",,Ground Pass,,27.64,,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.9624666608,0.9826715589,Dániel Richárd Gera,404174.0,,,,,,,,1,From Kick Off,Anderson Esiti,23648.0,Left Defensive Midfield,2,Diósgyőr,2212,"['dc39e9e2-c089-53b3-bee9-b0644baaaa19', '0e0cb519-2657-529d-8564-6c36a0da1da0']",3,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:03.411,Pass,
,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,455d7d6e-bfbb-5ab2-b5fd-3da1ce9fc5c3,11,,"[33.6, 13.0]",4003552,0,0.0127748493,0.0108785154,0.0018963339,0.010799366,0.0124371899,-0.0016378239,-0.0035341578,,,,2.310174,,Right Foot,,,"[19.1, 28.9]",,Ground Pass,,21.52,,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.860077348,0.9957408905,Siniša Saničanin,28003.0,,,,,,,,1,From Kick Off,Dániel Richárd Gera,404174.0,Left Back,2,Diósgyőr,2212,"['b40edb17-2e37-55e1-9d10-92237f95d0f7', '91289ba2-fb63-5a80-8f25-c32cd547d82d']",6,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:06.211,Pass,
,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,1360e088-6936-5ede-b108-deadf3f42398,14,,"[15.4, 29.1]",4003552,0,0.0124150943,0.013128479,-0.0007133847,0.0072233919,0.0104800034,-0.0032566115,-0.0025432268,,,,2.227092,,Left Foot,,,"[3.0, 45.2]",,Ground Pass,,20.32,,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9787689686,0.9959374666,Karlo Sentić,41382.0,,,,,,,,1,From Kick Off,Siniša Saničanin,28003.0,Left Center Back,2,Diósgyőr,2212,"['731cd019-bc58-5a41-9cbd-6fb57a4bba97', '2a6a95d4-bac1-5a07-bdbc-d23a2f46ae8f']",9,,,,,,,,,,,,,,,,,,,,,,Diósgyőr,2212,00:00:09.091,Pass,
