player_id,player_name,player_nickname,birth_date,player_gender,player_height,player_weight,jersey_number,positions,stats,country,formations,events
8276,Deian Boldor,,1995-02-03,male,189.0,81.0,25,[],[],Romania,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
29986,Daniel Štefulj,,1999-11-08,male,186.0,78.0,23,"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Croatia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
35582,Željko Gavrić,,2000-12-05,male,181.0,72.0,80,"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00:00.000', 'to': '01:12:41.415', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 484613, 'counterpart_name': 'Imre Adrián Tollár'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Serbia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
44173,Samuel Petráš,,1999-04-10,male,192.0,87.0,99,"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Slovakia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
44769,Alexander Abrahamsson,,1999-08-07,male,187.0,75.0,4,[],[],Sweden,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
74155,Paul Viorel Anton,,1991-05-10,male,182.0,82.0,5,"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Romania,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
85510,Márk Csinger,,2003-05-31,male,185.0,,21,"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
101825,Ștefan Marinel Vlădoiu,,1998-12-28,male,178.0,,2,"[{'position_id': 2, 'position': 'Right Back', 'from': '01:11:09.666', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle', 'counterpart_id': 452080, 'counterpart_name': 'Barnabás Bíró'}]","{'own_goals': 0, 'goals': 0, 'assists': 1, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Romania,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
284243,Miljan Krpić,,2003-07-03,male,188.0,79.0,24,"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Serbia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
286071,Ahmed Nadir Benbouali,,2000-04-17,male,190.0,85.0,7,"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00:00.000', 'to': '01:25:38.675', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 484611, 'counterpart_name': 'Oleksandr Pyshchur'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Algeria,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4231}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 425114, 'player_name': 'Nfansu Njie', 'period': 1, 'timestamp': '00:31:11.411', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 286071, 'player_name': 'Ahmed Nadir Benbouali', 'period': 1, 'timestamp': '00:47:19.495', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 1, 'timestamp': '00:50:14.003', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 439084, 'player_name': 'László Vingler', 'period': 2, 'timestamp': '01:20:23.247', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 101825, 'player_name': 'Ștefan Marinel Vlădoiu', 'period': 2, 'timestamp': '01:34:01.070', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 484611, 'player_name': 'Oleksandr Pyshchur', 'period': 2, 'timestamp': '01:34:01.788', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 2, 'timestamp': '01:35:19.171', 'type': 'Half End'}]"
