50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1965df97-f78a-504e-b73b-e77a2d707f24,1,,,4003569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7390, 'name': 'Barnabás Bese'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 132838, 'name': 'André Lourenço Duarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 418965, 'name': 'Tiago Lisboa Silva Gonçalves'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 28763, 'name': 'Giorgi Beridze'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 130597, 'name': 'Fran Brodić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24a40d35-6ee9-5261-85fe-782bf8875207,2,,,4003569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 16737, 'name': 'Ádám Kovácsik'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 484609, 'name': 'Milán Szekszárdi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 404288, 'name': 'Ákos Kinyik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 404299, 'name': 'Bence Lenzsér'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 404304, 'name': 'Attila Osváth'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 404300, 'name': 'Erik Silye'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 404306, 'name': 'Kristóf Papp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 404302, 'name': 'Kevin Horváth'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 439968, 'name': 'Gergő Gyurkits'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 136683, 'name': 'Ákos Szendrei'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 135987, 'name': 'János Csaba Hahn'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Paksi FC,2160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6d5b4616-08f4-5764-825b-258c196392d2,3,,,4003569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['a454c738-3db4-5087-8834-61b8a452cb19'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a454c738-3db4-5087-8834-61b8a452cb19,4,,,4003569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['6d5b4616-08f4-5764-825b-258c196392d2'],0,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,695292fa-a248-511b-a533-9161e0b0edba,1499,,,4003569,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,132,Paksi FC,2160,['2cceeaa0-43da-574c-adda-15f3332c0d73'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2cceeaa0-43da-574c-adda-15f3332c0d73,1500,,,4003569,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,132,Paksi FC,2160,['695292fa-a248-511b-a533-9161e0b0edba'],0,,,,,,,,,,,,,,,,,,,,,,,,Paksi FC,2160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.987,,,,,,,,,,,,,,d13318df-d5a7-5c6a-ab53-ca1e905a0ae9,5,,"[61.0, 40.1]",4003569,0,0.0100734113,0.0096909162,0.0003824951,0.0152253406,0.0068286974,0.0083966432,0.0080141481,,,,2.862145,,Right Foot,,,"[49.5, 43.4]",,Ground Pass,,11.96,,,,,,0.998539567,Arijan Ademi,18879.0,,,,,Kick Off,,1,From Kick Off,Fran Brodić,130597.0,Center Forward,2,Ujpest,1033,['391c00b6-1fd7-5d00-ad66-e68eb4582f2e'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.608,Pass,
,,,,,,,,,,,,,,,,,2.141,,,,,,,,,,,,,,14f1bef5-a90d-5fd4-9515-6b30d15547bd,8,,"[47.7, 44.3]",4003569,0,0.0101192668,0.0102760587,-0.0001567919,0.0129420552,0.0149122607,-0.0019702055,-0.0018134136,,,,1.695966,,Right Foot,,,"[43.9, 74.5]",,Ground Pass,,30.44,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.8801413085,0.9900553226,Barnabás Bese,7390.0,,,,,,,1,From Kick Off,Arijan Ademi,18879.0,Left Defensive Midfield,2,Ujpest,1033,"['3d77d7e5-9454-5c6b-bd59-aa5cd7615699', 'e3f33d60-08af-5b77-801f-9151dc32adc3']",2,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:02.623,Pass,
,,,,,,,,,,,,,,,,,2.366,,,,,,,,,,,,,,8f3623d6-895f-51e8-9884-488b2b9a83b1,11,,"[43.8, 74.7]",4003569,0,0.0114587573,0.0101828324,0.001275925,0.0107185449,0.0128495991,-0.0021310542,-0.0034069791,,,,-2.724543,,Right Foot,,,"[28.0, 67.7]",,Ground Pass,,17.28,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.971994823,0.9911182523,João Aniceto Grandela Nunes,7977.0,,,,,,,1,From Kick Off,Barnabás Bese,7390.0,Right Back,2,Ujpest,1033,"['ca71760c-41ba-5333-9894-d9e0b3a1fa49', '4c347ac4-fd44-5b36-bd0b-ad3344af5c25']",5,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:05.634,Pass,
,,,,,,,,,,,,,,,,,1.938,,,,,,,,,,,,,,cd192e8c-d5a5-5892-ae3a-b37c8c9a6d40,14,,"[28.3, 63.2]",4003569,0,0.0139592225,0.0113965552,0.0025626672,0.0105231609,0.0113361403,-0.0008129794,-0.0033756467,,,,-1.573284,,Right Foot,,,"[28.2, 23.0]",,Ground Pass,,40.2,,,47.0,Midfield third - Right - To left - Long - Ground Pass,0.9341479181,0.9956153631,André Lourenço Duarte,132838.0,,True,,,,,1,From Kick Off,João Aniceto Grandela Nunes,7977.0,Right Center Back,2,Ujpest,1033,"['ef0d0d0e-31db-58f7-82e2-1897f5ad8068', 'd11c019b-be1b-5308-8998-1495c9a2308a']",8,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:08.847,Pass,
