50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_goal_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a160ab4c-af04-4d70-a15c-9873757ce9f3,1,,,,4003579,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,,0,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 438528, 'name': 'Bence Gundel-Takács'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 438533, 'name': 'Nyíri Vince Tóbiás'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 40496, 'name': 'Bence Várkonyi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 47399, 'name': 'Daniel Csóka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 484093, 'name': 'Csongor Papp'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 77}, {'player': {'id': 404968, 'name': 'Bence András Kiss'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 49}, {'player': {'id': 101832, 'name': 'Norbert Szendrei'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 446356, 'name': 'Ábel György Krajcsovics'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 122981, 'name': 'João Victor Vieira Ferreira Sousa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 70}, {'player': {'id': 101837, 'name': 'Alen Martin Skribek'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 12805, 'name': 'Yohan Croizet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Zalaegerszegi TE,2209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5c5f4d1f-d8a2-45b6-ba37-9ccd428960cb,2,,,,4003579,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,,0,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 55}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 46812, 'name': 'Davit Kobouri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 418965, 'name': 'Tiago Lisboa Silva Gonçalves'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 7138, 'name': 'Iuri José Picanço Medeiros'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 45}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 48713, 'name': 'Milan Tučić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 34}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,69164154-3d0e-45bd-ae24-ae7f7f3c7adb,3,,,,4003579,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,['4c418866-b2a6-59bf-bb3f-aac10844ebe1'],0,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4c418866-b2a6-59bf-bb3f-aac10844ebe1,4,,,,4003579,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,['69164154-3d0e-45bd-ae24-ae7f7f3c7adb'],0,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4a3fc76c-0f6b-4931-b5bf-fd6c2bebdc0d,1682,,,,4003579,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Ujpest,1033,['7daba8ae-e8fd-5fc2-a3f4-34a300cf49be'],0,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7daba8ae-e8fd-5fc2-a3f4-34a300cf49be,1683,,,,4003579,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Ujpest,1033,['4a3fc76c-0f6b-4931-b5bf-fd6c2bebdc0d'],0,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.9268959999999996,,,,,,,,,,,7b085475-a51b-4dc5-a8f2-c111613b31e7,5,,,"[61.0, 40.1]",4003579,0,0.0104072737,0.0096909162,0.0007163575,0.014609498,0.0068286974,0.0077808006,0.0070644431,,,,2.932993,,,Left Foot,,,"[47.3, 43.0]",,Ground Pass,,14.0,,,,,,,,0.9986637831,Norbert Szendrei,101832.0,,,,,Kick Off,,1,From Kick Off,Yohan Croizet,12805.0,Center Forward,2,Zalaegerszegi TE,2209,['82d92b3f-a584-57e3-80e3-0893b751c559'],1,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:01.095,Pass,
,,,,,,,,,,,,,,,,1.2837440000000007,,,,,,,,,,,7fe52da8-c293-47f5-9ca5-21b7eda4ffb2,8,,,"[45.8, 43.3]",4003579,0,0.0108182747,0.0104999598,0.0003183149,0.012988749,0.0141359773,-0.0011472283,-0.0014655432,,,,2.168874,,,Right Foot,,,"[33.4, 61.5]",,Ground Pass,,22.02,,,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.5637680857,0.9939100742,Nyíri Vince Tóbiás,438533.0,,,,,,,1,From Kick Off,Norbert Szendrei,101832.0,Left Defensive Midfield,2,Zalaegerszegi TE,2209,"['3b3b1285-d4db-55a2-a22b-c436819efc5d', '7239ef06-1e1d-5d79-a102-6dfcb1c831ce']",3,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:03.771,Pass,
,,,,,,,,,,,,,,,,1.599322,,,,,,,,,,,55cdc7e6-7597-4b90-8adb-fe76c732bc70,11,,,"[33.4, 61.5]",4003579,0,0.0098745488,0.0108182747,-0.0009437259,0.0145944925,0.012988749,0.0016057435,0.0025494695,,,,0.507495,,,Right Foot,,,"[54.8, 73.4]",,Ground Pass,,24.49,,,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.8152505085,0.8332535625,Ábel György Krajcsovics,446356.0,,,,,,,1,From Kick Off,Nyíri Vince Tóbiás,438533.0,Right Back,2,Zalaegerszegi TE,2209,"['b452ef6b-fdef-5fd3-8c73-abbf6cc0778a', '689d31cc-b49d-5b83-a2bb-7b01dcfea3e6']",5,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:05.821,Pass,
,,,,,,,,,,,,,,,,0.960641999999998,,,,,,,,,,,f38c5145-9ba3-4f69-9e23-244cb716c4e4,14,,,"[51.1, 73.7]",4003579,0,0.0112530943,0.0098028211,0.0014502732,0.0096357819,0.0133785857,-0.0037428038,-0.005193077,,,,3.028741,,,Right Foot,,,"[36.1, 75.4]",,Ground Pass,,15.1,,,,,39.0,Defensive third - Right - Backwards - Short - Ground Pass,0.9848869337,0.9333420992,Nyíri Vince Tóbiás,438533.0,,,,,,,1,From Kick Off,Ábel György Krajcsovics,446356.0,Right Wing,2,Zalaegerszegi TE,2209,"['3b9fbcc6-a07d-5555-813f-d450d117f48f', '725c053a-cef0-5c2d-8ad8-1b100633c6a2']",9,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:09.347,Pass,
