player_id,player_name,player_nickname,birth_date,player_gender,player_height,player_weight,jersey_number,positions,stats,country,formations,events
7138,Iuri José Picanço Medeiros,Iuri Medeiros,1994-07-10,male,175.0,66.0,45,"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Portugal,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
7390,Barnabás Bese,,1994-05-06,male,188.0,84.0,33,[],[],Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
7977,João Aniceto Grandela Nunes,João Nunes,1995-11-19,male,186.0,78.0,30,"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Portugal,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
10837,Matija Ljujić,,1993-10-28,male,183.0,75.0,88,"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:56:59.324', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle', 'counterpart_id': 12829, 'counterpart_name': 'Damian Rasak'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Serbia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
11268,Attila Fiola,,1990-02-17,male,182.0,70.0,55,"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
12829,Damian Rasak,,1996-02-08,male,184.0,77.0,6,"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00:00.000', 'to': '00:56:59.324', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 10837, 'counterpart_name': 'Matija Ljujić'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Poland,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
18879,Arijan Ademi,,1991-05-29,male,185.0,79.0,8,"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '01:17:23.336', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle', 'counterpart_id': 68861, 'counterpart_name': 'Tom Lacoux'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",North Macedonia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
28763,Giorgi Beridze,,1997-05-12,male,174.0,71.0,7,"[{'position_id': 16, 'position': 'Left Midfield', 'from': '01:11:14.604', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle', 'counterpart_id': 40039, 'counterpart_name': 'Krisztofer Horváth'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Georgia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
35313,Mátyás Tajti,,1998-06-02,male,183.0,75.0,10,[],[],Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
38335,Riccardo Piscitelli,,1993-10-10,male,188.0,84.0,1,"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Italy,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 4141}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 1, 'timestamp': '00:22:56.249', 'type': 'Ground Pass', 'outcome': 'Assist'}, {'player_id': 101803, 'player_name': 'Aljoša Matko', 'period': 1, 'timestamp': '00:22:56.766', 'type': 'Shot', 'outcome': 'Goal'}, {'period': 1, 'timestamp': '00:46:09.705', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 28763, 'player_name': 'Giorgi Beridze', 'period': 2, 'timestamp': '01:15:27.685', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 48713, 'player_name': 'Milan Tučić', 'period': 2, 'timestamp': '01:30:45.023', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'period': 2, 'timestamp': '01:35:12.352', 'type': 'Half End'}]"
