50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c3274a51-c1c1-54af-85e7-604ae8bb384d,1,,,4003593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kazincbarcika,2541,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 47322, 'name': 'Dániel Gyollai'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 484586, 'name': 'Kristóf Polgár'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 34660, 'name': 'Varazdat Haroyan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 501982, 'name': 'Sodiq Anthony Rasheed'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 404643, 'name': 'Bence Sós'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 38}, {'player': {'id': 132561, 'name': 'Mykhailo Meskhi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 404244, 'name': 'Meshack Izuchukwu Ubochioma'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 70}, {'player': {'id': 16734, 'name': 'Zsombor Berecz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 484588, 'name': 'Bálint Kártik'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 484591, 'name': 'Levente Balázsi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 78}, {'player': {'id': 50330, 'name': 'Norbert Könyves'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 42}]}",Kazincbarcika,2541,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,74636c9b-33a4-573a-b6de-202d56e672d8,2,,,4003593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kazincbarcika,2541,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 132838, 'name': 'André Lourenço Duarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 46812, 'name': 'Davit Kobouri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 418965, 'name': 'Tiago Lisboa Silva Gonçalves'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7138, 'name': 'Iuri José Picanço Medeiros'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 45}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 103341, 'name': 'Gleofilo Sabrino Rudewald Vlijter'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,518eefe4-5fc3-5188-ad5a-a933e8598835,3,,,4003593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kazincbarcika,2541,['f263396a-991d-5b87-bc46-e962ea8ae2d0'],0,,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f263396a-991d-5b87-bc46-e962ea8ae2d0,4,,,4003593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Kazincbarcika,2541,['518eefe4-5fc3-5188-ad5a-a933e8598835'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d323ddcf-3eb5-53d6-b891-f2f3aa3861b4,1506,,,4003593,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Kazincbarcika,2541,['18b7e9b6-3437-56e7-8189-a8e074cc21ab'],0,,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,18b7e9b6-3437-56e7-8189-a8e074cc21ab,1507,,,4003593,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Kazincbarcika,2541,['d323ddcf-3eb5-53d6-b891-f2f3aa3861b4'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,1.265,,,,,,,,,,,,,,a3e6aa86-27ed-5580-8669-1c00c9be8ac4,5,,"[60.0, 40.0]",4003593,0,0.01066959,0.0085812286,0.0020883614,0.0137561262,0.0074392939,0.0063168323,0.0042284708,,,,3.085651,,Right Foot,,,,"[35.0, 41.4]",Ground Pass,,25.04,,,,,,,0.9987933636,Varazdat Haroyan,34660.0,,,,,Kick Off,,1,From Kick Off,Bálint Kártik,484588.0,Left Center Midfield,2,Kazincbarcika,2541,['a8b4d3bd-1b4e-5ea7-ab55-165acec36212'],0,,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:00.913,Pass,
,,,,,,,,,,,,,,,,,,,,3.779,,,,,,,,,,,,,,2028b444-11bb-5c6f-a0ac-d22b394599e3,8,,"[37.8, 39.9]",4003593,0,0.0070057218,0.0103370612,-0.0033313395,0.0095607582,0.0143050915,-0.0047443332,-0.0014129938,,True,,-0.676214,,Right Foot,,,,"[87.4, 0.1]",High Pass,,63.59,,Out,,10.0,Midfield third - Left - Forwards - Long - High Pass,0.4072460516,0.5403468013,,,,,,,,,1,From Kick Off,Varazdat Haroyan,34660.0,Right Center Back,2,Kazincbarcika,2541,['0acaac85-b9a6-50d8-ae51-73c7f846961e'],4,,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:04.145,Pass,
,,,,,,,,,,,,,,,,,,,,1.661,,,,,,,,,,,,,,117a85af-c9ab-5575-ad00-07d2cec8d256,9,,"[35.7, 80.0]",4003593,0,0.0091410382,0.0095607582,-0.0004197201,0.0089396145,0.0070057218,0.0019338927,0.0023536128,,,,-0.744412,,,,,,"[52.2, 64.8]",High Pass,,22.43,,Incomplete,,,,,0.6497251987,,,,,,,Throw-in,,1,From Throw In,João Aniceto Grandela Nunes,7977.0,Right Back,3,Ujpest,1033,['d5554202-4192-5868-9479-b7e4cadb47e3'],23,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:23.366,Pass,
,,,,,,,,,,,,,,,,,,,,2.394,,,,,,,,,,,,,,d5554202-4192-5868-9479-b7e4cadb47e3,10,,"[67.9, 15.3]",4003593,0,0.0133155836,0.0070057218,0.0063098618,0.0104850139,0.0095607582,0.0009242557,-0.0053856061,,,,0.309273,,Head,,,,"[84.8, 20.7]",High Pass,,17.74,,Incomplete,,57.0,Midfield third - Left - Forwards - Short - Ground Pass,0.598142016,0.3634083569,,,,,,,Recovery,,1,From Throw In,Zsombor Berecz,16734.0,Right Center Midfield,3,Ujpest,1033,"['444f570a-99d9-5b29-b9b3-c9ccee1b0af0', '117a85af-c9ab-5575-ad00-07d2cec8d256']",25,,,,,,,,,,,,,,,,,,,,,,,,Kazincbarcika,2541,00:00:25.027,Pass,
