50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_goal_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a34af09-31a8-5e95-97ee-70b45adc0d8f,1,,,,4003600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 404242, 'name': 'Bence Gergényi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 132838, 'name': 'André Lourenço Duarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 348792, 'name': 'Krisztián Tamás'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 55}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7138, 'name': 'Iuri José Picanço Medeiros'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 45}, {'player': {'id': 28763, 'name': 'Giorgi Beridze'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 103341, 'name': 'Gleofilo Sabrino Rudewald Vlijter'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,952ee691-4ea0-5b2c-b32d-0a960f8d9f27,2,,,,4003600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 300705, 'name': 'Dániel Kovács'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 63}, {'player': {'id': 139471, 'name': 'Pavlos Korrea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 31306, 'name': 'Stefanos Evangelou'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 41}, {'player': {'id': 404971, 'name': 'Levente Katona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 404960, 'name': 'Milán Májer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 23894, 'name': 'Nemanja Antonov'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 404227, 'name': 'Bojan Sanković'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 404992, 'name': 'Bálint Lajos Katona'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 55}, {'player': {'id': 404202, 'name': 'Mátyás Katona'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 70}, {'player': {'id': 158193, 'name': 'Dorian Babunski'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 9730, 'name': 'Bright Osagie Edomwonyi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 34}]}",Nyíregyháza Spartacus,2215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,892c7ca6-57db-5665-bfbe-1eb0ce2c13af,3,,,,4003600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['f22a3cc2-844b-565f-9e5b-9af00daa8430'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f22a3cc2-844b-565f-9e5b-9af00daa8430,4,,,,4003600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['892c7ca6-57db-5665-bfbe-1eb0ce2c13af'],0,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a06e5e7-3ec6-51f1-bb9e-c879a3a31918,1683,,,,4003600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,125,Ujpest,1033,['3b872ed9-1f89-5603-949a-069d0aaaf412'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b872ed9-1f89-5603-949a-069d0aaaf412,1684,,,,4003600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,125,Ujpest,1033,['2a06e5e7-3ec6-51f1-bb9e-c879a3a31918'],0,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.529,,,,,,,,,,,,,7e501672-b998-5def-9bc7-e29f366fb310,5,,,"[61.0, 40.1]",4003600,0,0.0112656653,0.0096909162,0.0015747491,0.0141952084,0.0068286974,0.007366511,0.0057917619,,,,3.084043,,Left Foot,,,,"[36.7, 41.5]",,Ground Pass,24.34,,,,,,0.9988120794,Stefanos Evangelou,31306.0,,,,,Kick Off,,1,From Kick Off,Mátyás Katona,404202.0,Left Center Midfield,2,Nyíregyháza Spartacus,2215,['98416896-6de2-5d61-8926-6f450c10d6e5'],0,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:00.264,Pass,
,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,f21eea4a-185b-538d-9c3f-2cb6c0362af1,8,,,"[40.2, 42.3]",4003600,0,0.0097215464,0.0104265464,-0.000705,0.0254128911,0.014142856,0.0112700351,0.0119750351,,,,0.405643,,Right Foot,,,,"[88.4, 63.0]",,High Pass,52.46,,,9.0,Midfield third - Right - Forwards - Long - High Pass,0.8191500762,0.3950041831,Dorian Babunski,158193.0,,,,,,,1,From Kick Off,Stefanos Evangelou,31306.0,Center Back,2,Nyíregyháza Spartacus,2215,"['ff868ac7-0b16-5cf1-a48e-1cac46df6913', '28f036e8-6c97-5176-a5b3-aa93d44ca8d7']",4,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:04.051,Pass,
,,,,,,,,,,,,,,,,,1.829,,,,,,,,,,,,,466432c2-3ecc-5e67-b8b2-6cd75d52ee63,11,,,"[89.0, 63.0]",4003600,0,0.011369504,0.0097215464,0.0016479576,0.0118235787,0.0254128911,-0.0135893123,-0.0152372699,,,True,-0.71883,,,,,,"[98.6, 54.6]",,High Pass,12.76,Incomplete,,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.4962328384,0.1972597986,,,,,,,,,1,From Kick Off,Dorian Babunski,158193.0,Center Attacking Midfield,2,Nyíregyháza Spartacus,2215,"['0b7db7c2-cc1b-579d-b825-10c6cd73c3ec', '23f200e3-c58c-52c8-b8f5-de5e52a52624']",7,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:00:07.491,Pass,True
,,,,,,,,,,,,,,,,,2.929,,,,,,,,,,,,,a89666b9-6446-5ff6-a274-1f024eab7463,14,,,"[20.4, 26.4]",4003600,0,0.0086591542,0.0124136796,-0.0037545254,0.0088771768,0.0114892125,-0.0026120357,0.0011424897,,,,-0.461013,,Right Foot,,,,"[50.8, 11.3]",,High Pass,33.94,Incomplete,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.866852421,0.3281152248,,,,,,,,,1,Regular Play,Attila Fiola,11268.0,Right Defensive Midfield,3,Ujpest,1033,"['407eb7fa-1da9-5794-a887-f0bc945c4f26', 'ba11e050-9fa7-5ea8-8a9d-7e13a69f71da']",10,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:10.450,Pass,
