50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8dd0798-8e33-40e4-8756-b28da21e4012,1,,,,4003608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 132838, 'name': 'André Lourenço Duarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 418965, 'name': 'Tiago Lisboa Silva Gonçalves'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 7138, 'name': 'Iuri José Picanço Medeiros'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 45}, {'player': {'id': 48713, 'name': 'Milan Tučić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 34}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2dcc2079-da65-4ac9-ad76-feeb9fe5c531,2,,,,4003608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 285971, 'name': 'Dávid Attila Grof'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 24560, 'name': 'Stefan Gartenmann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 43895, 'name': 'Toon Raemaekers'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 28}, {'player': {'id': 400298, 'name': 'Gábor Sándor Szalai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 131173, 'name': 'Cebrails Makreckis'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 25}, {'player': {'id': 438571, 'name': 'Barnabás Nagy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 77}, {'player': {'id': 386463, 'name': 'Alex Tóth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 64}, {'player': {'id': 8505, 'name': 'Naby Deco Keïta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 16349, 'name': 'Jonathan Levi'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 104036, 'name': 'Gavriel Gilad Kanichowsky'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 36}, {'player': {'id': 12921, 'name': 'Barnabás Varga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Ferencvaros,1476,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ba05ef3-dc05-4edb-b670-0cfa2d86371d,3,,,,4003608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['b6d9d2ec-d7d4-5c77-ace9-23bfe8fb11ca'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b6d9d2ec-d7d4-5c77-ace9-23bfe8fb11ca,4,,,,4003608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['4ba05ef3-dc05-4edb-b670-0cfa2d86371d'],0,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41d68cf0-5034-4d75-a8bf-a3b00e920da7,1591,,,,4003608,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Ujpest,1033,['ef584986-ae07-516b-8e1d-5750cf9e9bd8'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef584986-ae07-516b-8e1d-5750cf9e9bd8,1592,,,,4003608,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Ujpest,1033,['41d68cf0-5034-4d75-a8bf-a3b00e920da7'],0,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.036027,,,,,,,,,,,,,d68d2569-9d75-4505-9842-e744e492d471,5,,,"[60.0, 40.0]",4003608,0,0.0099705327,0.0085812286,0.0013893042,0.0159858782,0.0074392939,0.0085465843,0.0071572801,,,,3.010256,,,Left Foot,,,"[51.4, 41.1]",,Ground Pass,,8.7,,,,,,0.9983306527,Iuri José Picanço Medeiros,7138.0,,,,,Kick Off,,1,From Kick Off,Matija Ljujić,10837.0,Right Defensive Midfield,2,Ujpest,1033,['55641ded-b436-5624-b691-4465dee1698d'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.518,Pass,
,,,,,,,,,,,,,,,,2.3661259999999995,,,,,,,,,,,,,917e08a4-5456-4130-8f96-957fac69fbc1,8,,,"[52.1, 39.7]",4003608,0,0.0065463223,0.0096544288,-0.0031081066,0.012381685,0.0169196166,-0.0045379316,-0.0014298251,,,,0.405795,,,Left Foot,,,"[90.8, 56.3]",,High Pass,,42.15,Incomplete,,34.0,Midfield third - Left - To right - Long - High Pass,0.3709759831,0.3195218444,,,,,,,,,1,From Kick Off,Iuri José Picanço Medeiros,7138.0,Right Center Forward,2,Ujpest,1033,"['3f19f792-b6cb-4921-9b46-60b2e5134122', '9caa5842-43ea-51f2-a65a-f8cba8ebc0a8']",2,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:02.303,Pass,
,,,,,,,,,,,,,,,,2.2197119999999995,,,,,,,,,,,,,3f19f792-b6cb-4921-9b46-60b2e5134122,9,,,"[29.3, 23.8]",4003608,0,0.0157467071,0.0169196166,-0.0011729095,0.011475361,0.0096544288,0.0018209321,0.0029938417,,,,-0.216415,,,Head,,,"[57.5, 17.6]",,High Pass,,28.87,Incomplete,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.8390725075,0.4728689492,,,,,,,Recovery,,1,From Kick Off,Gábor Sándor Szalai,400298.0,Left Center Back,2,Ujpest,1033,"['917e08a4-5456-4130-8f96-957fac69fbc1', '72149d83-afd9-40ad-9c64-436e4c66762f']",4,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:04.669,Pass,
,,,,,,,,,,,,,,,,3.4550490000000007,,,,,,,,,,,,,c71bd579-b3fc-40b4-846b-663eaad7660e,13,,,"[64.4, 62.9]",4003608,0,,0.0099921376,,,0.0158096422,,,,,,-0.697922,,,Right Foot,,,"[93.4, 38.6]",,High Pass,,37.8,Unknown,,20.0,Midfield third - Right - Forwards - Short - High Pass,0.5984883487,,,,,,,,,,1,From Kick Off,André Lourenço Duarte,132838.0,Left Center Back,2,Ujpest,1033,"['464d3de9-d65d-4b5f-a3c5-11117b5810f7', '540f988c-a2a4-5a20-9793-f3528a14bae4', '4a0cbaf5-c259-4abc-8ce1-ab70f0445ec4']",7,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:07.884,Pass,True
,,,,,,,,,,,,,,,,1.9663809999999975,,,,,,,,,,,,,40920a60-db86-49ac-93ab-76a88fa0a4d9,16,,,"[33.3, 40.0]",4003608,0,0.0127700577,0.0095613096,0.0032087481,0.0114813894,0.0114731016,8.2878e-06,-0.0032004602,,,,1.512383,,,Left Foot,,,"[34.3, 57.1]",,Ground Pass,,17.13,,,,,,0.9977650642,Stefan Gartenmann,24560.0,,,,,Free Kick,,1,From Free Kick,Toon Raemaekers,43895.0,Center Back,3,Ferencvaros,1476,['d05f284d-0850-575b-ba81-982c82728d8b'],24,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:24.160,Pass,
,,,,,,,,,,,,,,,,0.9129649999999964,,,,,,,,,,,,,32170b40-971e-4588-8def-c3ee2848eac8,20,,,"[58.2, 74.4]",4003608,0,0.0111687593,0.0098498287,0.0013189306,0.0127841318,0.0125287753,0.0002553565,-0.0010635741,,,,1.129204,,,Right Foot,,,"[60.8, 79.9]",,Ground Pass,,6.08,,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.5420388349,0.9273394346,Cebrails Makreckis,131173.0,,,,,,,1,From Free Kick,Stefan Gartenmann,24560.0,Right Center Back,3,Ferencvaros,1476,"['3025b450-33b1-42ab-ba34-bf4faaef207b', 'd322306e-053f-5cc3-945d-231e1875a892', '6d6acc14-df5f-5af7-abc4-acb6b82f8426']",32,,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:00:32.122,Pass,True
