50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,342df21e-6d05-4ec4-a057-459c01a8c032,1,,,4003614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 404991, 'name': 'Ádám Varga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 404329, 'name': 'Márk Szécsi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 77}, {'player': {'id': 3153, 'name': 'Ádám Lang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 25035, 'name': 'Josua Antonio Mejías García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26142, 'name': 'Adrián Guerrero Aguilar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 315180, 'name': 'Tamás Szűcs'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 411567, 'name': 'Dominik Kocsis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10810, 'name': 'Balázs Dzsudzsák'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 406757, 'name': 'Flórián Cibla'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 99}, {'player': {'id': 101845, 'name': 'Donát Bárány'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Debrecen,2206,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3a33dabf-7f55-4ee2-a4ed-9270cb2c7a24,2,,,4003614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38335, 'name': 'Riccardo Piscitelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12829, 'name': 'Damian Rasak'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 132838, 'name': 'André Lourenço Duarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 418965, 'name': 'Tiago Lisboa Silva Gonçalves'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 7138, 'name': 'Iuri José Picanço Medeiros'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 45}, {'player': {'id': 48713, 'name': 'Milan Tučić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 34}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,abd58ca5-9d6d-41de-95db-8eb39b5eb382,3,,,4003614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,['1303c2d9-48c0-595d-9659-22c9bddac25a'],0,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1303c2d9-48c0-595d-9659-22c9bddac25a,4,,,4003614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Debrecen,2206,['abd58ca5-9d6d-41de-95db-8eb39b5eb382'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,16c1e4d1-f99e-4dd1-b645-77a29d940895,1832,,,4003614,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Debrecen,2206,['6b77d89b-49b7-5651-a7a0-cde7798712ec'],0,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6b77d89b-49b7-5651-a7a0-cde7798712ec,1833,,,4003614,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Debrecen,2206,['16c1e4d1-f99e-4dd1-b645-77a29d940895'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.634575,,,,,,,,,,,,,,,024d540f-b558-42e2-b215-0588d6230b68,5,,"[60.0, 40.0]",4003614,0,0.0103309844,0.0085812286,0.0017497558,0.0189733282,0.0074392939,0.0115340343,0.0097842785,,,,0.343024,,,Right Foot,,,"[63.5, 41.3]",,Ground Pass,,3.72,,,,,,,0.9961646795,Iuri José Picanço Medeiros,7138.0,,,,,Kick Off,,1,From Kick Off,Matija Ljujić,10837.0,Right Defensive Midfield,2,Ujpest,1033,['8ccadb76-94ab-5069-8cb8-59cda56b65b8'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.800,Pass,
,,,,,,,,,,,,,,,,,0.5902609999999999,,,,,,,,,,,,,,,a38725a3-9be2-4db1-bb72-a2c485017f21,9,,"[67.8, 40.4]",4003614,0,0.0089980271,0.0096748201,-0.000676793,0.0254467782,0.022102043,0.0033447351,0.0040215282,,,,0.606703,,,Left Foot,,,"[77.7, 47.3]",,Ground Pass,,12.01,,,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.8296371909,0.9431497455,Milan Tučić,48713.0,,,,,,,1,From Kick Off,Iuri José Picanço Medeiros,7138.0,Right Center Forward,2,Ujpest,1033,"['fdf3e4f7-de91-50ee-88f8-9af75d95c667', '4e085e1c-4534-5b4b-ab90-c2cd4bb9c8b4']",3,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:03.265,Pass,
,,,,,,,,,,,,,,,,,1.726353,,,,,,,,,,,,,,,0d73b1ae-e483-40c2-95fb-cc76e246e6c8,11,,"[77.7, 47.3]",4003614,0,0.0128572155,0.0089980271,0.0038591884,0.0115107689,0.0254467782,-0.0139360093,-0.0177951977,,,,-0.875761,,,Left Foot,,,"[91.5, 30.8]",,Ground Pass,,21.55,,Incomplete,,56.0,Attacking third - Center - To left - Short - Ground Pass,0.9904875475,0.7986965775,Milan Tučić,48713.0,,,,,,,1,From Kick Off,Milan Tučić,48713.0,Left Center Forward,2,Ujpest,1033,"['b88e6f1b-3fd8-441f-bcd7-6cd3b09e92f9', '235f0ad8-0441-5719-8e9a-6281cc357b31']",3,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:03.855,Pass,
,,,,,,,,,,,,,,,,,1.835633,,,,,,,,,,,,,,,b88e6f1b-3fd8-441f-bcd7-6cd3b09e92f9,13,,"[28.6, 49.3]",4003614,0,0.0249974392,0.0254467782,-0.0004493389,0.0098801441,0.0089980271,0.0008821171,0.001331456,,,,-0.021124,,,Left Foot,,,"[42.8, 49.0]",,Ground Pass,,14.2,,Incomplete,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9060823156,0.8668368459,Dominik Kocsis,411567.0,,,,,Recovery,,1,From Kick Off,Márk Szécsi,404329.0,Right Back,2,Ujpest,1033,"['05a0e948-cfa4-53a0-b19c-3f018746d662', '0d73b1ae-e483-40c2-95fb-cc76e246e6c8', '38c559e4-b469-4433-b57d-b60070598fab']",5,,,,,,,,,,,,,,,,,,,,,,,,Debrecen,2206,00:00:05.581,Pass,
