bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,898ab801-9988-4522-904f-22a109028ae9,1,,,,4003670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 404208, 'name': 'Dávid Banai'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 247192, 'name': 'Gergő János Bodnár'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 27815, 'name': 'Patrizio Stronati'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 94}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 55}, {'player': {'id': 318547, 'name': 'Noah Dávid Gabriel Fenyö'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 28763, 'name': 'Giorgi Beridze'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 88}, {'player': {'id': 48713, 'name': 'Milan Tučić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 34}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,367da268-c789-432e-99a2-878f4c66a1c8,2,,,,4003670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 158733, 'name': 'Péter Szappanos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 28951, 'name': 'Quentin Maceiras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8834, 'name': 'Wojciech Golla'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 294552, 'name': 'Georgi Harutyunyan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 404177, 'name': 'Artem Favorov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 160378, 'name': 'Michael Okeke'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 21173, 'name': 'Laros Duarte'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 404169, 'name': 'Daniel Lukacs'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 73886, 'name': 'Zsolt Nagy'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 425045, 'name': 'Kevin Mondovics'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 77}, {'player': {'id': 136301, 'name': 'Joel Fameyeh'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Puskas,2565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d1fa7ac5-eb67-4547-9d61-db7ec005aa72,3,,,,4003670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['94fc7304-63c8-58aa-b12c-dc4b3c524785'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94fc7304-63c8-58aa-b12c-dc4b3c524785,4,,,,4003670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Ujpest,1033,['d1fa7ac5-eb67-4547-9d61-db7ec005aa72'],0,,,,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7998d78d-9fd9-4089-9070-54753fdb7624,1543,,,,4003670,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Ujpest,1033,['1da912f8-2dba-5a02-8644-eb938dbd631d'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1da912f8-2dba-5a02-8644-eb938dbd631d,1544,,,,4003670,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Ujpest,1033,['7998d78d-9fd9-4089-9070-54753fdb7624'],0,,,,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.5999990000000004,,,,,,,,,,,,c891c7d0-ffa0-4d63-8675-2f7c3d8a6ced,5,,,"[60.0, 40.0]",4003670,0,,0.0110880705,0.0085812286,0.0025068419,0.0140718753,0.0074392939,0.0066325814,0.0041257394,,,,-2.899371,,,Right Foot,,,"[34.4, 33.7]",,Ground Pass,,26.39,,,,,,0.9982509017,Georgi Harutyunyan,294552.0,,,,Kick Off,,1,From Kick Off,Joel Fameyeh,136301.0,Left Center Forward,2,Puskas,2565,['9f7f05ae-5c5d-5cb6-9041-996acc63956a'],0,,,,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:00:00.120,Pass,
,,,,,,,,,,,,,,,,3.279994999999999,,,,,,,,,,,,81dad215-8d39-4088-bd69-cd3e16060b88,8,,,"[35.6, 34.6]",4003670,0,,0.0115544451,0.0110419607,0.0005124845,0.0135834338,0.0143812951,-0.0007978613,-0.0013103457,,,,0.529162,,,Right Foot,,,"[85.3, 63.7]",,High Pass,,57.59,Incomplete,,14.0,Defensive third - Center - Forwards - Long - High Pass,0.6170730998,0.3721600473,,,,,,,,1,From Kick Off,Georgi Harutyunyan,294552.0,Left Center Back,2,Puskas,2565,"['2f0fa902-cc23-555a-8c7b-fc963041d001', '6bcd8acd-765b-42ef-a3e7-823038f1312b']",2,,,,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:00:02.920,Pass,
,,,,,,,,,,,,,,,,1.639994999999999,,,,,,,,,,,,b2e93212-2770-42e5-9b25-a91505a0f77e,16,,,"[28.2, 27.1]",4003670,0,,0.0690332651,0.0147469351,0.05428633,0.0104925958,0.0111161508,-0.0006235549,-0.0549098849,,,,2.04971,,,Left Foot,,,"[20.1, 42.7]",,Ground Pass,,17.58,Incomplete,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9731449642,0.9831835032,,,,,,,,1,Regular Play,Tom Lacoux,68861.0,Left Defensive Midfield,3,Ujpest,1033,"['40eb2b6a-4f3d-43db-90e8-68fe478a114f', '701ba17a-ccb7-46c4-873b-1efed7d27033', '423bc072-4c7f-5e57-b564-0469a1dfa395']",11,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:11.680,Pass,True
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,4cc39c89-8681-4011-a485-a20c04b0ce0c,20,,,"[6.6, 33.0]",4003670,0,,0.0145066809,0.0105956681,0.0039110128,0.0097065791,0.0069409744,0.0027656048,-0.001145408,,,,1.941688,,,Left Foot,,,"[3.8, 40.2]",,Ground Pass,,7.73,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9261735704,0.998868227,Dávid Banai,404208.0,,,,Goal Kick,,1,From Goal Kick,Patrizio Stronati,27815.0,Left Center Back,5,Ujpest,1033,['a04964eb-bcc0-5854-b0b3-0636fc999996'],29,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:29.840,Pass,
