50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,485e492c-aa52-4138-b07e-51e038a2618b,1,,,,4003713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 438528, 'name': 'Bence Gundel-Takács'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 101841, 'name': 'András Mátyás Csonka'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 540522, 'name': 'Akpe Victory Maduabuchukwu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 55}, {'player': {'id': 437709, 'name': 'Diogo Antônio Rodrigues Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 76590, 'name': 'José Manuel Calderón Portillo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 406490, 'name': 'Fabricio Amato'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 101832, 'name': 'Norbert Szendrei'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 404968, 'name': 'Bence András Kiss'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 49}, {'player': {'id': 101837, 'name': 'Alen Martin Skribek'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 428358, 'name': 'Maxsuell Alexandre Alves Soares'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 122981, 'name': 'João Victor Vieira Ferreira Sousa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 70}]}",Zalaegerszegi TE,2209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7ed38264-2a20-44f1-b74d-5c7f69dc416a,2,,,,4003713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 404208, 'name': 'Dávid Banai'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7390, 'name': 'Barnabás Bese'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 7977, 'name': 'João Aniceto Grandela Nunes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 27815, 'name': 'Patrizio Stronati'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 94}, {'player': {'id': 404242, 'name': 'Bence Gergényi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 44}, {'player': {'id': 10837, 'name': 'Matija Ljujić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 68861, 'name': 'Tom Lacoux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 101803, 'name': 'Aljoša Matko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 40039, 'name': 'Krisztofer Horváth'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 130597, 'name': 'Fran Brodić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 425452, 'name': 'Nejc Gradišar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Ujpest,1033,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a75975b2-6aea-41b3-8ab9-2127e7cad50d,3,,,,4003713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,['3c099cf8-add8-5034-a79e-11497f9c206f'],0,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3c099cf8-add8-5034-a79e-11497f9c206f,4,,,,4003713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,Zalaegerszegi TE,2209,['a75975b2-6aea-41b3-8ab9-2127e7cad50d'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,8873a34d-d156-4b36-87db-8460645e1bf1,1603,,,,4003713,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Ujpest,1033,['9776c02c-2647-55cb-a2f5-f5cae88a74a7'],0,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9776c02c-2647-55cb-a2f5-f5cae88a74a7,1604,,,,4003713,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Ujpest,1033,['8873a34d-d156-4b36-87db-8460645e1bf1'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.3999990000000007,,,,,,,,,,2ec7a8b6-9fb3-4e98-97fa-76ed5cdf6b43,5,,,"[60.0, 40.0]",4003713,0,0.013968314,0.0085812286,0.0053870855,0.0111550177,0.0074392939,0.0037157238,-0.0016713617,,,,-3.120621,,,Right Foot,,,,"[27.6, 39.3]",Ground Pass,,32.43,,,,,,0.9981928468,Dávid Banai,404208.0,,,,Kick Off,,1,From Kick Off,Matija Ljujić,10837.0,Right Defensive Midfield,2,Ujpest,1033,['e12e7592-5fdf-5ed8-ba2f-4a7bbbe16a95'],0,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:00.400,Pass,
,,,,,,,,,,,,,,,,3.604559000000001,,,,,,,,,,d7a30910-e41b-4cd0-8dec-b3bf07b99259,9,,,"[30.7, 41.3]",4003713,0,0.0076458128,0.0160794407,-0.0084336279,0.0149862627,0.011523678,0.0034625847,0.0118962126,,,,-0.134646,,,Right Foot,,,,"[94.5, 32.7]",High Pass,,64.36,Incomplete,,54.0,Defensive third - Center - Forwards - Long - High Pass,0.6497264098,0.3055804074,,,,,,,,1,From Kick Off,Dávid Banai,404208.0,Goalkeeper,2,Ujpest,1033,"['88ffba4c-f4b4-4f18-b517-57a79428b404', 'be309a16-9565-49ed-9c1a-62d620671d59', '756047cc-0f73-536d-9ea5-6c4e6b3c6801']",6,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:06.400,Pass,True
,,,,,,,,,,,,,,,,0.9559239999999992,,,,,,,,,,88ffba4c-f4b4-4f18-b517-57a79428b404,10,,,"[25.6, 47.4]",4003713,0,0.031178467,0.011523678,0.019654789,0.0089153098,0.0160794407,-0.0071641309,-0.0268189199,,,,-0.218669,,,Head,,,,"[34.6, 45.4]",Low Pass,,9.22,Incomplete,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.4021542662,0.7783191204,Alen Martin Skribek,101837.0,,,,Recovery,,1,From Kick Off,Akpe Victory Maduabuchukwu,540522.0,Right Center Back,2,Ujpest,1033,"['50cf6aba-db26-5b51-bffb-6039a5cc4fc7', '0251913f-b4c5-425e-80b1-a4e0005a3bd7', 'd7a30910-e41b-4cd0-8dec-b3bf07b99259']",10,,,,,,,,,,,,,,,,,,,,,,,,Zalaegerszegi TE,2209,00:00:10.004,Pass,
,,,,,,,,,,,,,,,,3.3104339999999994,,,,,,,,,,0251913f-b4c5-425e-80b1-a4e0005a3bd7,12,,,"[85.5, 34.7]",4003713,0,0.0055035553,0.0076458128,-0.0021422575,0.0097600119,0.0149862627,-0.0052262507,-0.0030839932,,True,,-1.303301,,,Right Foot,,,,"[95.0, 0.0]",High Pass,,35.98,Out,,0.0,Midfield third - Center - To left - Short - Ground Pass,0.925793548,0.6964597106,,,,,,Interception,,1,From Kick Off,Matija Ljujić,10837.0,Right Defensive Midfield,2,Ujpest,1033,['88ffba4c-f4b4-4f18-b517-57a79428b404'],10,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:00:10.960,Pass,
